																	
id	TaskName	TaskObjective	Question	Examples	Criteria	Notes											
C25	'Selects items by following another's gaze	'The student will be able to select an item by attending to the eye orientation of another person.	"If you ask the student to ""Give me that one, while looking at a specific item will the student be able to select the correct item?"""	"'When a pen, a crayon, and a piece of chalk are on different parts of a table, the student selects the item to which the instructor is looking."	"'2= can select one of three separated items located on a table, 1= can select one of two separated items located on a table"												
C26	'Follows hand signals	"'The student will be able to follow hand signals from an adult to come, sit, stand, go to a location, and perform an action when signaled (e.g., stand up or clap hands when point to the child)."	"'Does the student follow hand signals from an adult to come to the adult, sit down, stand, and go to a location to which the adult is pointing, and perform an action when signaled?"	"'Student goes to door when adult points to the door, student claps his hands when the adult points to him (to indicate his turn), student selects the big cup when teacher points to the largest of several cups on a table."	"'4= can respond correctly to all 5 types of hand signals, 3= can respond correctly to at least 4 types of hand signals, 2= can respond correctly to at least 3 types of hand signals, 1= can respond to at least 2 types of hand signals"												
C27	'Follow an instruction to go to a person	'Student will be able to walk across the room to go to a specified person.	'Can the student walk across the room to go to a specified person?	"Student follows an instruction by walking across the room when told to ""go to Jim"""	"2= can go to at least four people upon request can go to at least two people upon request"""												
C28	'Follow an instruction to give an item to a person or place item on an object	"'Student will be able to walk across the room to go to a specified place or person and place or deliver an item (e.g., give pen to Jim)."	'Can the student walk across the room to go to a specified place or person and place or deliver an item?	"""Give the pen to Jim"""	"4= can go to at least 2 people and 2 places and deliver/place a given item, 3= 2 people or places without prompts, 2= 2 people or places with only a single verbal prompt, 1= 1 person or place with only a verbal prompt”"												
C29	'Follow an instruction to walk to someone and get a named item	'Student will be able to walk across the room to go to a specified place or person and get a requested item.	'Can you ask the student walk across the room to go to a specified place or person and get a requested item?	"""Go get the book from the desk and bring it to me"","	"4= can go to at least 2 people and 2 places and get a specified item, 3= 2 people or places without prompts, 2= 2 people or places with only a single verbal prompt, 1 person or place with only a verbal prompt”"												
C30	'Follow an instruction to go to a person and do an action	"'Student will be able to walk across the room to go to a specified person and perform a stated action (e.g., give Jim a hug)."	"'Can you ask the student to go to a person and perform an action (e.g., give a hug)?"	"""Give Jim a hug"""	"4= can go to at least three people and perform at least 2 actions, 3= 2 people & 2 actions, 2= 2 people & 1 action, 1=1 person & 1 action”"												
C31	'Specific motor responses in receptive tasks	"The student will select common objects and pictures with a specific motor response when given a variety of instructions specifying the response required to select those items (e.g., ""Touch, ""Point to, Give me,  Pick up, Get the”)."""	"Can the student make selections of objects and pictures when given a variety of instructions which specify the response required to select those items (e.g., ""Touch, ""Point to, Give me, Pick up, Get”)?"""	"""Touch the cup, ""Point to bird, Give me shoe, Pick up hat, Get the plate, Cover the monkey, Hide the spoon, Push the car”"	"'4= responds correctly to any of 5 different selection responses, 3= four different selection responses, 2= three different selection responses, two different selection responses"												
C32	'Demonstrates a specified action with an object when given different objects	"'The student will comply with instructions to do a simple action when presented with several objects, one of which is used to perform the action."	"'Will the student follow an instruction to do a simple action when presented with several objects, one of which is used to perform the action (e.g., display of a pencil and a pillow and instructed to ""Show me writing)?"""	"""Show me sleeping, writing, tapping, cutting, rolling."""	"2= at least 5 without prompts, 1= at least 2 with only verbal or pointing prompts"""												
C33	'Multiple actions with an object	"'The student will be able to perform a specified action with a specific object, when several different objects are present that could be used to demonstrate the requested action."	"Can the student demonstrate actions using a variety of objects (e.g., with a car, a train, a ball, a brush, and a toy dog present, student can follow directions to show me ""brushing dog, ""brushing arm, rolling car, rolling ball, etc.)?"	"""Bounce ball, roll ball, throw ball, ""Brush hair, brush dog.”"	"'4= can perform at least 4 actions on at least 4 objects, 3= can perform at least 3 actions on 4 objects, 2: can perform at least 2 actions on 4 objects, 1= can perform 2 actions on at least 2 objects"												
C34	'Demonstrates a specified pretend action	'The student will comply with instructions to do a pretend activity.	"'Will the student follow an instruction to do an action even when it is not the conditions under which the activity usually occurs (e.g., ""Show me laughing)?"""	"'""Show me laughing, crying, yawning, sleeping, writing, tapping, cutting, rolling."",'2= at least 5 without prompts"	"1= at least 2 with only verbal or pointing prompts"""												
C35	'Select one of three pictures representing actions	"'Upon request, the student will select a specified action picture from an array of three pictures on a table in any position in front of the student."	'Can the student select a specified picture of an action from a selection of three pictures representing actions?	"'When shown pictures of a boy writing, kicking, and eating and asked to select the picture of ""writing the student selects the picture of the boy writing"""	"'4= selects 20 or more action pictures and can identify several different examples (including novel examples) of most of those actions, 3= 10 actions, 2=5 actions, 1=2 action pictures"	"'See Appendix 8: Actions and Verbs List Note: This skill can be demonstrated with any type of selection response (e.g., point to, pick up, give me, touch, show me, where is, find the)"											
C36	'Select associated pictures	"Given an array of items or pictures and asked, ""What goes with this?, the student will be able to select the item which is used with the item being shown (e.g. select a bat when shown a picture of a ball)."""	"When given a display of objects or pictures and shown a different item and asked, ""What goes with this?, can the student select an item from the display which is used with the item being presented (e.g. select a bat when shown a picture of a ball)?"""	"'bat and a ball; cup and juice; socks and shoes; knife, fork and a spoon; shirt, hat and pants"	"'4= can select at least 2 related pictures for 20 or more items, 3= 2 related pictures for 10 items, 2= 1 related picture for 10 items, 1= can select at least 1 related picture for 5 items"	'See Appendix 1: Association List											
C37	'Select by function	'Student will be able to select objects or pictures of items when told the item's function.	"'Can the student select objects or pictures of items when told the item's function [e.g., Give me the one(s) you cut with, write with, etc.]?"	"'When shown pictures of a scissors, a shoe and a horse, and asked ""Which one do you cut with?; the student will select scissors."""	"'4= can select at least 25 items when told the item's function and can select 2 or more items with a specified function from a display of at least 6 items, 3= at least 25 items, 2= at least 5, 1= at least 2 items"	'Modified											
C38	'Select by feature	'Student will be able to select objects or pictures of items when told the item's features or parts.	"'Can the student select objects or pictures of items when told the item's features or parts [e.g., Give me the one(s) with a tail]?"	"'When shown pictures of a scissors, a shoe and a horse, and asked ""Which one has a tail?; the student will select the horse."""	"'4= can select at least 2 features or parts for 25 items and can select 2 or more items with a specified feature/part from a display of at least 6 items, 3= at least 2 features or parts for 25 items, 2= at least 1 feature or part for 5 items, 1= at least 1 feature or part for 2 items"	'Modified											
C39	'Select by class	'Student will be able to select objects or pictures of items when told the class to which the item belongs.	"'Can the student select objects or pictures of items when told the class to which the item belongs [e.g., Give me the animal(s)]?"	"'When shown pictures of a scissors, a shoe and a horse, and asked ""Which one do you wear?; the student will select the shoe."""	"'4= can select at least 5 items from 4 classes and can select 2 or more items of a specified class from a display of at least 6 items, 3= at least 5 items from 4 classes, 2= at least 5 items from 2 classes, 1= at least 5 items from 1 class"	'Modified											
C40	'Select two items from a larger set	"'Upon request, the student will select two specified objects or pictures from a larger selection of objects on a table in front of the student."	'Can the student select two specified objects or pictures from a larger selection of objects on a table in front of the student?	"'When an assortment of 10 common objects or pictures are placed on a table, and the student is asked to ""give me shoe and cup student will pick up the cup and shoe"""	"'2= can select 2 specified objects or pictures when given a display of 10 or more items, 1= can select 2 specified objects or pictures when given a display of at least 4 items"												
C41	'Select two items in sequence from a larger set	"'Upon request, the student will select two specified objects or pictures, in the order requested, from a larger selection of pictures on a table in front of the student."	"'Can the student select two specified items, in the order requested, from a larger selection of pictures on a table in front of the student?"	"'When 10 common objects or pictures of items are placed on a table, and asked to ""give me shoe and cup student will pick up the pictures of the shoe and the cup in that order"""	"'2= can select 2 specified items in order when given a display of 10 or more pictures, can select 2 specified items in order when given a display of at least 4 pictures"												
C42	'Select community helpers	'The student will be able to select pictures of common community helpers in his environment.	'Can the student select pictures of common community helpers in his environment?	"'Teacher, police, fire fighter, physician, clerk"	"'4= selects 4 or more community helpers, 3= 3 community helpers, 2= 2 community helpers, 1=1 community helper"												
C43	"'Locate objects in larger, complex picture"	"'The student will be able to locate pictures of objects within a larger, complex picture."	'Can the student locate pictures of objects within a complex picture which contains a variety of other objects?	'Find all of the fish (same fish) in an underwater scene.	"'2= can find at least 3 of 4 items in a display which contains at least 10 other items, 1= can find at least 2 of 4 items in a display which contains at least 5 other items"												
C44	"'Locate objects from parts of objects in larger, complex picture"	"'The student will be able to locate objects when only shown parts of the objects within a larger, complex picture."	'Can the student locate pictures of objects when only shown parts of the objects presented within a complex picture?	"'Find all of the fish when only part of each fish may be visible (e.g., the head or the tail) in an underwater scene."	"'2= can find at least 3 of 4 items in a display which contains at least 10 other items, 1 can find at least 2 of 4 items in a display which contains at least 5 other items"												
C45	'Select common environmental sounds	'The student will select appropriate pictures when the sound which is paired with that item is heard.	"'When listening to a tape recording of common sounds, or upon hearing a natural environmental sound and asked ""What do you hear?, will the student select a picture of the item which makes the sound?"""	"'Tools/machinery saw, drill Alert Sounds car horns, train whistles, ambulance/police sirens animals even ts/activities birthday party, baseball game. vehicles car, train, airplanes"	"'4= at least 8 sounds, 3= at least sounds, 2= at least 4 sounds, 1= at least 2 sounds"												
C46	'Selects all examples of an item	"'The student will be able to follow directions to select all the examples of a specified item (e.g., all the cats)."	"'If you show the student an array or items, can he select all the examples of a specified item from that larger group of items?"	"""Give me all the dogs"","	"4= 6 similar items from a total array of at least fifteen items, 3=: items from an array of ten items, 2= 3 items from an array of at least six items, 1 = at least 2 similar items from a total array of at least four items”"	'New											
C47	'Select single items with two specified characteristics	"'Given a scene or a varied set of objects or pictures, the student will be able to select a specified item which has the two specified characteristics (e.g., ""The big red ball, ""The hot breakfast cereal"")."""	"'Can the student select a specified item which has the two specified characteristics (e.g., ""The big red ball,' The hot breakfast cereal"") from a scene or a larger set of similar items?"""	"'The big red ball, the hot breakfast cereal, the clothes you wear on your feet."	"'4= 20 two-component combinations, 3= 10 two- component combinations 2= 5 two-component combinations 1= 2 two-component combinations"	'											
C48	'Select set of items with a specified characteristic	"'Given a set of objects or pictures which vary only on a single characteristic, the student will be able to select all of the items which have a single specified characteristic (i.e., adjectives such as ""The red ones)."""	"'Can the student select multiple items which have a specified characteristic from a larger set of similar items which vary along a single characteristic (i.e., adjectives)?"	"'The red ones, ones with holes, wrinkled/smooth ones, clean/dirty, new/used"	"'4= selects at least 20 adjectives (including at least 3 colors, 2 shapes and 2 sizes), 3= at least 10 adjectives (at least 5 of which are not colors), 2= at least 5 adjectives (may be all colors), 1= can identify at least one adjective"	'See Appendices 5 & 6: Adjectives List & Colors and Shapes List											
C49	'Select set of items with two specified characteristics	"'Given a varied set of objects or pictures, the student will be able to select all of the items which have the two specified characteristics (e.g., adjectives, parts or other features, function, or class of the item)."	"'Can the student select multiple items which have two specified characteristics from a larger set of similar items which vary along those two characteristics (e.g., adjectives, parts or other features, function, or class of the item)?"	"'The big red ones, the green ones with holes, the big cars, the little shoes, the little green ones, red food items"	"'4= 20 two component combinations, 3= 10 two component combinations 2= 5 two component combinations 1= 2 two component combinations"	'See Appendices 5 & 6: Adjectives List & Colors and Shapes List											
C50	'Follows a multiple component sequence instruction	'The student will be able to select three items in a specified sequence.	"'Can the student select items in a specified sequence (e.g., ""Touch the shoe, then touch the sock)?"""	"'""Touch the shoe, then touch the sock"",'2= accurately selects 3 items in specified sequence after all the items are named"	"1 accurately selects 2 items in specified sequence after both items are named"""	'Modified											
C51	'Receptive prepositions	'The student will be able to follow instructions which include selections involving prepositions.	'Can the student follow directions which require selections involving prepositions?	'	"'4= at least 6 prepositions, 3= at least 5 prepositions, 2= at least 3 prepositions, at least 2 prepositions"	'See Appendix 9: Prepositions List											
C52	'Receptive pronouns	'The student will be able to follow instructions which include selections involving pronouns.	'Can the student follow directions which require selections involving pronouns?	'	"'4= at least 8 pronouns, 3= at least 4 pronouns, 2= at least 3, 1= at least 2 pronouns"	'See Appendix 10: Pronouns List											
C53	'Select pictures representing a location or an activity presented in a scene	'Student will be able to select pictures of scenes or pictures of activities	'Can the student select pictures of specific locations and activities when presented with an array of pictures in which one of the pictures represent the location or activity?	"'Fire in a house, fire truck, pulling the fire hose, spraying water on the house. Scenes of a beach, a birthday party, a picnic, a baseball game, a parade, a grocery store, a circus."	"'2= selects at least 4 pictures depicting locations or activities, 1= selects at least 2 pictures depicting locations or activities"	'											
C54	'Selects pictures representing emotions	'Student will be able to select pictures of faces depicting various emotions.	'Can the student select pictures of faces depicting a variety of emotions?	"'happy, sad, surprised, frightened, mad, scared"	"'4= at least 4 emotions, 3= at least 3 emotions, 2= at least 2 emotions, 1= at least 1 emotion"	'											
C55	"'Selects ""same and ""different"""	"'When the student is provided with a display of two items, then shown a third item which matches one of the two displayed items and told to either to ""Find same, or to ""Find different"	 he will select the corresponding item in the display.	"'Can the student select an item which is ""Same and ""Different"" from an array of two items when shown a third item which matches one of the two displayed items?"""	"2= can select both ""Same and ""Different"" items when the two displayed items vary on only one characteristic,1= can select both ""Same"" and ""Different"" items when the two displayed items vary on two or more characteristics”"												
C56	'Select non- examples	"'Student will be able to point to or select items which are non- examples of a specified category of items (e.g., not food, not yellow, not used to cook, does not have a tail)."	"'Will the student point to or select items which do not meet a specified criterion (e.g., not food, not an animal, not green)?"	"'When student is looking at a book and is asked to point to something that is ""not food, he points to a picture of a car."""	"'4= at least 3 examples from 10 categories (can be related to functions, features, or classes of items) 3= 3 examples from at least 5 categories, 2= 3 examples from at least 3 categories, 1=3 examples from at least 2 categories (can be related to functions, features, or classes of items)"	'Modified											
C57	'Selects pictures of social interactions	"'The student will be able to select pictures representing a variety of social interactions (e.g., playing, arguing)."	"'Can the student select pictures representing a variety of social interactions (e.g., playing, arguing)?"	"'Embarrassed, arguing, fighting, talking, teasing, playing, working, practicing, busy, upset, friendly, stressed, funny."	"'4= selects pictures representing at least 4 social interactions, 3= selects at least 3 social interactions, 2= selects at least 2 social interactions, selects at least 1 social interaction"	'											
D1	'Motor limitation using objects	"'Upon request, student will imitate a motor activity with an object."	"'Will the student imitate a motor action using an item/object when asked to ""Do this?"""	"'Pretend to drink from a cup, roll a car down a ramp"	"'4= at least 10 actions with at least two different actions for each object, 3= 10 actions, 2=5 actions, 1= 2 actions"	'											
D2	'Motor limitation using objects in a discrimination	"'Upon request, student will imitate a motor activity requiring a discrimination of an object."	"'Will the student imitate a motor action requiring a discrimination of an object when asked to ""Do this?"""	"'When the student has a pencil and a spoon & is shown putting a pencil in a cup, the student will do the same on request"	"'4= at least 10 actions & readily imitates novel actions, 3= 10 actions, 2= 5 actions, 1=2 actions"	'Modified											
D3	'Motor limitation of gross motor movement with verbal prompts	"'Upon request, student will imitate a gross motor movement when provided with verbal prompts."	"'Will the student imitate a gross motor action when asked to ""Do this and provided with verbal prompts?"""	"'Jump up, clap hands"	"'4= at least 10 actions & readily imitates novel actions, 3= imitates any 10 actions, 2= imitates any 5 actions, 1= imitates any 2 actions"	'See Appendix 11: Imitative Skills List											
D4	'Imitation of leg and foot movements	"'Upon request, student will imitate a gross motor activity involving foot and leg movements."	"'Will the student imitate a gross motor action involving foot and leg movements when asked to ""Do this?"""	'Stomp foot	"'4= at least 10 actions & readily imitates novel actions, 3= 10 actions, 2= 5 actions, 1=2 actions"	'See Appendix 11: Imitative Skills List Note: Some of the skills exhibited in D3 may also be skills measured in Tasks D4 - D10 that measure more specific motor limitation skills											
D5	'Imitation of arm and hand movements	"'Upon request, student will imitate a gross motor activity involving arm and hand movements."	"'Will the student imitate a gross motor action involving arm and hand movements when asked to ""Do this?"""	'Raise and lower arms at side	"'4= at least 10 actions & readily imitates novel actions, 3= 10 actions, 2= 5 actions, 1=2 actions"	'See Appendix 11: Imitative Skills List											
D6	'Imitation discriminating static and kinetic motor movements	"'Upon request, student will imitate similar actions that require him to discriminate whether the action requires either a static (held position) or a kinetic (movement) motor movement."	"'Will the student imitate both actions that require him to demonstrate holding a static position and those that require him to imitate a similar action that requires repeated movement when asked to ""Do this?"""	"'Tap table with a hand VS. hold the hand on table, clap hands VS. holding palms together, tap foot on a circle VS. place and hold foot on the circle."	"'4= at least 10 pairs of actions & readily imitates novel actions, 3= imitates any 10 pairs of actions, 2= imitates any 5 pairs of actions, 1= imitates any 2 pairs of similar actions where one response in the pair involves movement and the other is a static response."	'New. See Appendix 11: Imitative Skills List											
D7	'Varied limitation instructions	'The student will imitate actions when any of a variety of instructions are used to indicate that he is to imitate an action.	'Can the student imitate actions when the instructions are varied?	"Will imitate a model when asked to ""Watch me, Your turn, ""Do what I do, Follow me, You try it, My turn, Now you do it, or Do like this”"	"'2= imitates known actions when given any one of 4 different instructions to imitate, 1= imitates known actions when given any one of at least of 2 different instructions to imitate"	'New											
D8	'Imitation of gross motor actions modeled in a mirror	"'Upon request, student will imitate gross motor movements that he observes being modeled by others in a mirror."	"'Will the student imitate gross motor movements that he observes being modeled by others in a mirror when asked to ""Do this ?"""	"'Put hand on head, clap hands, rub stomach, etc."	"'4= at least 10 actions & readily imitates novel actions, 3= imitates any 10 actions, 2= imitates any 5 actions, 1= imitates any 2 actions"	'See Appendix 11: Imitative Skills List - New											
D9	'Imitation of head movements	"'Upon request, student will imitate a gross motor activity involving head movements."	"'Will the student imitate a gross motor action involving head movements when asked to ""Do this?"""	'Shake head from side to side	"'2= imitates 3 actions, 1= one action"	'See Appendix 11: Imitative Skills List											
D10	'Imitation of mouth and tongue movements	"'Upon request, student will imitate a motor activity involving mouth and tongue movements."	"'Will the student imitate a motor action involving his mouth and tongue when asked to ""Do this?"""	'Stick out tongue	"'2= imitates 4 actions, 1=2 2 actions"	'See Appendix 11: Imitative Skills List											
D11	'Imitation of facial/oral motor movements modeled in a mirror	"'Upon request, student will imitate facial/oral motor movements that he observes being modeled by others in a mirror."	"'Will the student imitate facial/oral motor movements that he observes being modeled by others in a mirror when asked to ""Do this?"""	"'Open mouth, squeeze lips together, stick out tongue, move tongue side-to-side, lips to blowing position, puffy cheeks, blinking, raising eyebrows."	"'4= at least 6 facial/oral motor movements including those that require repeated movement and those that require a held position (static), 3= imitates any 6 actions, 2= imitates any 4 actions, 1= imitates any 2 facial/oral motor actions"	'New. See Appendix 11: Imitative Skills List											
D12	'Motor imitation of fine motor movement	"'Upon request, student will imitate a fine motor activity."	"'Will the student imitate a fine motor action when asked to ""Do this?"""	'Touch tips of index fingers together	"'4= at least 10 actions & readily imitates novel actions, 3= 10 actions, 2= 5 actions, 1=2 actions"	'See Appendix 11: Imitative Skills List											
D13	'Imitation of touching objects in sequence	"'Upon request, student will imitate touching objects in a sequence at the same time as a person modeling the sequence."	'Will the student imitate touching objects in a sequence switching to touch the next item when the model touches that item?	"'With a set of 4 identically arranged objects, student matches model when he touches a car, then shoe, then cup, then horse."	"'2= can imitate any sequence of touching 4 of 6 items, 1= can imitate any sequence of touching 2 of 4 items."	'New											
D14	'Imitation of blowing	"'Upon request, student will imitate both short and sustained blowing actions when modeled by others."	"'Will the student imitate both short and sustained blowing actions when modeled by others when asked to ""Do this ?"""	'Simple blowing action and a sustained 2 second blowing action.	"'2= imitates both a short and a sustained blowing action of at least 2 seconds duration, 1= can imitate either a short or an extended blowing action"	'New											
D15	'Imitate speed of an ongoing action with objects	"'Upon request, student will imitate a motor activity involving manipulating an object matching the speed of the ongoing model."	"'Will the student imitate a motor action involving the manipulation of an object matching the speed of an ongoing model when asked to ""Do this?"""	"'Imitates the speed of an ongoing model moving an object (e.g., shaking a tambourine quickly or slowly at the same time a model of the action is being demonstrated)"	"'2= readily imitates actions matching the speed of the ongoing model, requires only verbal prompts to match the speed of the ongoing model"	'New											
D16	'Imitate speed of a recently modeled action with objects	"'Upon request, student will imitate a motor activity involving manipulating an object matching the speed of a recently modeled action."	"'Will the student imitate a motor action involving the manipulation of an object matching the speed of a recently modeled action when asked to ""Do this?"""	"'Immediately following a demonstration of an action with an object, student imitates the modeled action matching the speed of the model moving the object (e.g., shaking a tambourine quickly or slowly)"	"'2= readily imitates actions with objects matching the speed of the action immediately following a demonstration, requires only one verbal prompt to match the speed of the action immediately following a demonstration"	'New											
D17	'Imitate speed of an action	"'Upon request, student will imitate a gross motor activity matching the speed of the model."	"'Will the student imitate a gross motor action matching the speed of the model when asked to ""Do this?"""	'Slowly or quickly raise arms at side	"'2= readily imitates actions matching the speed of the model, 1= requires only verbal prompts to match the speed of the model"	'											
D18	'Imitation of touching objects in sequence following a model	"'Upon request, student will imitate touching objects in a sequence after the sequence of items to be touched has been demonstrated."	'Will the student imitate touching objects in a sequence after the sequence of items to be touched has been demonstrated?	"'With a set of 4 objects, student watches model as he touches a car, a shoe, a cup, then a horse. The student then touches those items in the same sequence."	"'2= can imitate touching any sequence of touching 4 of 6 items immediately following a demonstration, 1= can imitate touching any sequence of touching 2 of 4 items immediately following a demonstration."	'New											
D19	'Imitation of a sequence of actions switching with model	"'Upon request, student will imitate a sequence of motor actions along with a model immediately switching from one action to another following the lead of the model."	"'When asked to ""Do this, will the student imitate a sequence of motor actions along with a model immediately switching from one action to another following the lead of the model?"""	"'Clap hands, shake hands, rub hands, then tap thighs, immediately changing from one action to another when a leader changes his actions"	"'2= can imitate a sequence of 6 different modeled actions within 10 seconds, can imitate a sequence of 4 different modeled actions within 10 seconds"	'New											
D20	'Imitation of a sequence of actions	"'Upon request, student will imitate a sequence of motor activities."	"'Will the student imitate a sequence of motor actions when asked to ""Do this followed by a model of a sequence of actions?"""	'Clap hands then tap thighs	"'4= at least 10 sequences of two actions & readily imitates novel sequences , 3= 10 sequences of two actions, 2= 5 sequences of two actions, 1= 2 sequences of two actions after a sequence has been modeled"	'Modified											
D21	'Imitation of the intensity of an action	"'Upon request, student will imitate a gross motor activity matching the intensity of the model."	"'Will the student imitate a gross motor action matching the intensity of the model when asked to ""Do this?"""	"'Tap a table with a hard tap VS. a soft tap, clap hands hard vs soft clap (Note that slow or fast claps can be either hard or soft)"	"'2= readily imitates actions matching the intensity of the model, 1= requires only verbal prompts to match the intensity of the model"	'New											
D22	'Imitation of the number of repetitions of a motor movement	"'Upon request, student will imitate a motor movement for the same number of repetitions as was just modeled."	"'Following a demonstration by a model, will the student imitate the same number of repetitions of an action when asked to ""Do this?"""	'Tap a drum with a stick once VS. three times	'2= imitates any number of up to three repetitions of a response without prompts 1 imitates any number of up to three repetitions of a response when provided with only verbal or gestural prompts	'New											
D23	'Simultaneous limitation of motor movement and a vocalization	"'Upon request, student will imitate a motor movement along with a corresponding vocalization."	"When asked to ""Do this then shown a demonstration that combines an action and a vocalization  will the student imitate the same combination of motor action and vocalization?”"	"Wave raised arms from side to side while saying ""Swish, swish, swish. Move arms like cradling a baby while saying ""Wa wa wa"""	'2= imitates up to three repetitions of at least 4 different motor and vocal response combinations without prompts 1 imitates at least one motor and vocal response combination without prompts	'New											
D24	'Motor imitation sequence using multiple objects	"'Upon request, student will imitate a sequence of actions using multiple objects."	"'Will the student imitate a sequence of actions using multiple objects when asked to ""Do this?"""	"'When a toy truck, a small box and a red, blue, yellow and a white block are present, the student imitates a sequence of putting the blue block on top of the white block then places the red block in the box and the yellow block in the back of the truck."	"'2= can replicate at least 6 different sequences of at least three actions involving 4 objects with the original model remaining visible, can replicate at least 6 different sequences of at least two actions involving 4 objects with the original model remaining visible"	'New											
D25	'Imitates motor movement without a direct verbal prompt	"'Without being told to imitate each action, student will imitate gross motor actions modeled by an individual, for the social recognition of being able to match the actions."	"'Does the student imitate the gross motor actions of others, for only the personal satisfaction or for the social recognition of being able to match the actions?"	'Make a series of facial and head movements that are being done by others.	"'4= at least 10 actions & readily imitates novel actions, 3= 10 actions, 2= 5 actions, 1= 2 actions"												
D26	'Spontaneously imitates the actions of others	'Student will spontaneously imitate a gross motor activity modeled by an individual who is not standing directly in front of the student.	"'Does the student spontaneously imitate the actions of others who are not directly in front of him (i.e., without having to be prompted or told to imitate the action)?"	"'Watches others and does what others do (e.g., all hop, clap, stand, sit, put hands on hips)."	"'4= at least 10 actions & readily imitates novel actions (not necessary to be a sequence of 10) , 3= 10 actions, 2= 5 actions, 1= 2 actions"												
D27	'Delayed imitation	"'Upon request or when labeling his own actions, student will be able to demonstrate actions which he observed several hours earlier in the day."	"'Does the student imitate actions which he observed earlier in the day either spontaneously while labeling his behavior, or upon request?"	"'""This is what the lion did or ""show me how Cinderella scrubbed the floor"""	"'4= label and imitate numerous actions observed 4 hours ago, 3= label and imitate after 1 hour, 2= label and imitate after 10 minutes, 1= upon request, 1 action after 5 minutes"												
E1	'Imitates sounds on request	"'The student will imitate a sound when you say ""Say II"	'Can the student imitate sounds upon request?	'	"'4= readily and accurately imitates almost any sound, 3= 15 sounds, 2= 5 sounds, 1=2 sounds"												
E2	'Imitates sequence of single sounds switching with a model	'The student will be able to repeat a series of individual sounds presented in quick succession.	'Is the student able to repeat a sequence of sounds immediately after they are presented in a one-after-the-other manner?	"Child quickly repeats each sound presented in rapid succession (e.g., “May, “Moe"", ""Me"" “ah"", “buh"", “ee"", ""oh"")"""	"'2= can repeat at least 10 separate sounds in 15 seconds, 1= can repeat 5 separate sounds in 10 seconds"												
E3	'Imitates initial sounds of words	"'When a word is modeled for the student, he will be able to imitate the initial sounds of that word."	'Can the student imitate the initial sounds of words which are modeled to them?	"'For ""bat says ""ba"" For ""shoe"" says ""sh"" For ""apple"" says ""ap"" For ""up"" says ""uh"""	"'4= readily and accurately imitates at least the first sound of almost any word, 3= 15 sounds, 2= 5 sounds, 1=2 sounds"												
E4	'Imitation of multiple separate sound combinations	'The student will be able to repeat a variety of separate sounds in combination in which the student must attend to both sounds.	'Is the student able to repeat his known sounds in a variety of combinations in which the sounds are presented?	"Says ""ma ""ma"" VS. ""ma"" ""me"" vs. ""ma"" “moe"", says ""ee"" ""o"" VS. ""ee"" ""ee"" VS. ""ee"" ""ah"""	"'2= can repeat at least 4 pairs of sound combinations for at least 4 starting sounds, 1= can repeat at least 3 pairs of sound combinations for at least 2 starting sounds"												
E5	'Imitation of short & fast vs. elongated/slow sounds	'The student will be able to repeat sounds matching the speed of the presented sound.	"'If a sound is presented in a deliberately slow or fast manner, is the child able to match the speed that sounds are said to him?"	"'Says ""mm vs ""mmmmm"""	"'2= readily imitates sounds matching the speed of the model, 1= requires only gestural prompts to match the speed of the model"												
E6	'Imitation of the number of repetitions of a sound	"'Upon request, student will imitate a sound for the same number of repetitions as was just modeled."	"'Following a demonstration by a model, will the student imitate the same number of repetitions of a sound when asked to ""Say (sound)?"""	"'Say ""ah once VS. ""ah"" ""ah"" ""ah"""	'2= imitates any number of up to three repetitions of a sound without prompts imitates any number of up to three repetitions of a sound when provided with only gestural prompts												
E7	'Imitation of a held sound to a second sound	'The student will be able to repeat sound combinations in which the model requires the student to hold or elongate the first sound and smoothly transition to a second sound (not merely say two separate sounds).	'Is the student able to repeat a combination of sounds that requires the student to hold or elongate the first sound and smoothly transition to a second sound (not merely say two separate sounds)?	"Says ""mmmeeeee smoothly transitioning from the ""mm"" sound to the ""eee"" sound (not two independent sounds ""mm"" “ee""), ""aaaaammmm"" as in an elongated ""am"""	"'2= can smoothly switch between at least 4 held/ elongated sounds to at least 4 other sounds, 1= can smoothly switch between at least 2 held/elongated sounds to at least 2 other sounds"	'New											
E8	'Consonant- vowel/ vowel- consonant combinations	"The student will be able to repeat sound combinations in which the model requires the student to repeat consonant- vowel and vowel consonant combinations (e.g., ""eat, “up, go, me”)"""	'Is the student able to able to repeat simple sound combinations involving a single vowel and a consonant?	"'up, on, in, am, ma, my, moo"	"'2= can repeat at least 3 vowel- consonant and 3 consonant- vowel sound combinations without breaks between the two sounds, 1= can repeat at least 3 vowel- consonant or consonant-vowel sound combinations without breaks between the two sounds"	'New											
E9	'Consonant- vowel- consonant- vowel	"The student will be able to repeat sound combinations in which the model requires the student to repeat consonant- vowel-consonant-vowel combinations (e.g., ""mama, “dada, peepee, meme”)"""	'Is the student able to repeat sound combinations in which the model requires the student to repeat consonant-vowel- consonant-vowel combinations?	"""mama, “dada, pee pee, me me, boo boo, bye bye”"	"'2= can repeat at least 6 consonant-vowel- consonant- vowel sound combinations without breaks between the sounds, 1= can repeat at least 3 consonant- vowel- consonant-vowel sound combinations without breaks between the sounds"	'New											
